id	text	label
train_000000	Dung dc sp tot cam on shop Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời	0
train_000001	Chất lượng sản phẩm tuyệt vời . Son mịn nhưng khi đánh lên không như màu trên ảnh	0
train_000002	Chất lượng sản phẩm tuyệt vời nhưng k có hộp k có dây giày đen k có tất	0
train_000003	:(( Mình hơi thất vọng 1 chút vì mình đã kỳ vọng cuốn sách khá nhiều hi vọng nó sẽ nói về việc học tập của cách sinh viên trường Harvard ra sao những nỗ lực của họ như thế nào 4h sáng? tại sao họ lại phải thức dậy vào thời khắc đấy? sau đó là cả một câu chuyện ra sao. Cái mình thực sự cần ở đây là câu chuyện ẩn dấu trong đó để tự bản thân mỗi người cảm nhận và đi sâu vào lòng người hơn. Còn cuốn sách này chỉ đơn thuần là cuốn sách dạy kĩ năng mà hầu như sách nào cũng đã có. BUồn...	1
train_000004	Lần trước mình mua áo gió màu hồng rất ok mà đợt này lại giao 2 cái áo gió chất khác như vải mưa ý :((	1
train_000005	Chất lượng sản phẩm tuyệt vời có điều không cứng cáp với không cố định dáng nói chung đẹp hợp túi tiền	0
train_000006	Đã nhận đc hàng rất nhanh mới đặt buổi tối mà trưa mai là có rồi =}} Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt	0
train_000007	Các siêu phẩm thấy cấu hình toàn tựa tựa nhau. Ko còn sự đột phá lớn nữa. Chỉ là nâng cấp. Khác nhau về kiểu dáng. Htc này vs giá trên thật lòng khó cạnh tranh mạnh vs siêu phẩm khác, chỉ dành cho fan của họ thôi.	1
train_000008	Hàng ship nhanh chất lượng tốt tư vấn nhiệt tình ship rất đung size sẽ ủng hộ shop nhìu ❤️	0
train_000009	Đồng hồ đẹp nhưng 1 cái đứt dây 1 cái k chạy mua ve phải sửa	1
train_000010	Chất lượng sản phẩm tuyệt vời.y hình chụp.đáng tiền	0
train_000011	Hjhj shop giao hàng nhanh quá. Đẹp lắm ạ bé nhà m rất thích	0
train_000012	"nhìn đẹp phết nhỉ.."	0
train_000013	Đóng gói rất đẹp. Chất lượng sản phẩm rất tốt Chất lượng sản phẩm tuyệt vời	0
train_000014	Săn đc với giá 11k. Toẹt vời	0
train_000015	OK rất hài lòng	0
train_000016	Giao thiếu mình cái này rồi shop ơi T^T	1
train_000017	Chất lượng sản phẩm tuyệt vời tôi rất thích	0
train_000018	Giày đẹp lắm có điều dây hơi ngắn tí ạ Chất lượng sản phẩm tuyệt vời	0
train_000019	Yếm vải đẹp nhưng ít mẫu đẹp	0
train_000020	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền. Giao hàng hôm sau là có	0
train_000021	không hài lòng sản phẩm cho lắm. giặt lan đầu tiên da nhoe màu hết rồi.	1
train_000022	Giao hàng nhanh, mặc đẹp Cám ơn shop	0
train_000023	Chất lượng sản phẩm tuyệt vời bao bì cute phô mai que son đánh mịn cực không có bị bột à còn giao hành max nhanh luôn	0
train_000024	Đồng hồ thì đẹp thật. Nhưng tại sao kim lúc chạy lúc đứng. Nhắn tin thì ko trả lời. Mấy bạn lưu ý đừng mua nữa.	1
train_000025	Giao hàng siêu nhanh. Đóng gói cẩn thận và tư vấn nhiệt tình. Hạt điều thấm vị và giòn.	0
train_000026	"Cũng hơi bất tiện xu thế này e rằng đa phằn người dùng sẽ không ưa thích"	1
train_000027	Toàn hàng trungkhi mua quên ko coi kĩ	1
train_000028	Đóng gói sản phẩm rất đẹp và chắc chắn. Được shop tặng thêm quà nữa 😘	0
train_000029	Hôm nay chiên thử cá hồi, cá chiên ăn ngọt hơn chiên kiểu truyền thống vì giữ đc nước Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn	0
